,customerid,birthdate,bank_account_type,longitude_gps,latitude_gps,bank_name_clients,bank_branch_clients,employment_status_clients,level_of_education_clients,systemloanid_x,loannumber_x,approveddate_x,creationdate_x,loanamount_x,totaldue_x,termdays_x,referredby_x,good_bad_flag,systemloanid_y,loannumber_y,approveddate_y,creationdate_y,loanamount_y,totaldue_y,termdays_y,closeddate,referredby_y,firstduedate,firstrepaiddate
0,8a858e135cb22031015cbafc76964ebd,1973-10-10 00:00:00.000000,Savings,3.3192190000000004,6.5286039,GT Bank,,,,301964962,2,29:48.0,29:42.0,10000,13000.0,30,8a858899538ddb8e0153a780c56e34bb,Good,301943951,1,55:26.0,54:19.0,10000,11500.0,15,09:47.0,8a858899538ddb8e0153a780c56e34bb,00:00.0,59:36.0
1,8a858e275c7ea5ec015c82482d7c3996,1986-01-21 00:00:00.000000,Savings,3.3255983000000002,7.119403299999999,Sterling Bank,,Permanent,,301972172,2,21:46.0,21:40.0,10000,13000.0,30,,Bad,301929966,1,47:30.0,46:22.0,10000,13000.0,30,52:54.0,,00:00.0,42:44.0
2,8a858e5b5bd99460015bdc95cd485634,1987-04-01 00:00:00.000000,Savings,5.7460998,5.5631737,Fidelity Bank,,,,301976271,4,40:27.0,40:19.0,10000,13000.0,30,,Good,301931228,3,49:34.0,49:27.0,10000,13000.0,30,12:20.0,,00:00.0,02:11.0
3,8a858e5b5bd99460015bdc95cd485634,1987-04-01 00:00:00.000000,Savings,5.7460998,5.5631737,Fidelity Bank,,,,301976271,4,40:27.0,40:19.0,10000,13000.0,30,,Good,301895253,1,07:01.0,06:40.0,10000,11500.0,15,02:53.0,,00:00.0,52:45.0
4,8a858e5b5bd99460015bdc95cd485634,1987-04-01 00:00:00.000000,Savings,5.7460998,5.5631737,Fidelity Bank,,,,301976271,4,40:27.0,40:19.0,10000,13000.0,30,,Good,301919784,2,10:41.0,10:34.0,10000,11500.0,15,13:50.0,,00:00.0,03:40.0
5,8a858efd5ca70688015cabd1f1e94b55,1991-07-19 00:00:00.000000,Savings,3.3628497000000004,6.642485300000001,GT Bank,,Permanent,,301997763,2,03:17.0,03:09.0,10000,11500.0,15,,Good,301939781,1,05:26.0,04:18.0,10000,11500.0,15,24:13.0,,00:00.0,14:05.0
6,8a858ea05a859123015a8892914d15b7,1990-07-21 00:00:00.000000,Savings,3.365935,6.5648233,Access Bank,,Permanent,,301992494,6,44:43.0,44:36.0,20000,24500.0,30,,Good,301876300,3,59:19.0,59:13.0,10000,13000.0,30,45:02.0,,00:00.0,29:52.0
7,8a858ea05a859123015a8892914d15b7,1990-07-21 00:00:00.000000,Savings,3.365935,6.5648233,Access Bank,,Permanent,,301992494,6,44:43.0,44:36.0,20000,24500.0,30,,Good,301953421,5,07:32.0,06:24.0,20000,24500.0,30,57:17.0,,00:00.0,47:08.0
8,8a858ea05a859123015a8892914d15b7,1990-07-21 00:00:00.000000,Savings,3.365935,6.5648233,Access Bank,,Permanent,,301992494,6,44:43.0,44:36.0,20000,24500.0,30,,Good,301916071,4,56:10.0,56:04.0,20000,24500.0,30,22:04.0,,00:00.0,11:56.0
9,8a858ea05a859123015a8892914d15b7,1990-07-21 00:00:00.000000,Savings,3.365935,6.5648233,Access Bank,,Permanent,,301992494,6,44:43.0,44:36.0,20000,24500.0,30,,Good,301849134,2,10:12.0,10:04.0,10000,13000.0,30,45:58.0,,00:00.0,30:48.0
10,8a858ea05a859123015a8892914d15b7,1990-07-21 00:00:00.000000,Savings,3.365935,6.5648233,Access Bank,,Permanent,,301992494,6,44:43.0,44:36.0,20000,24500.0,30,,Good,301828709,1,42:48.0,42:38.0,10000,13000.0,30,55:35.0,,00:00.0,40:26.0
11,8a858f405d13c45f015d13dd93ec0c1c,1992-11-17 00:00:00.000000,Savings,3.2905898000000002,6.6120747,EcoBank,,Permanent,,302000213,2,13:02.0,12:57.0,10000,13000.0,30,,Good,301965649,1,09:14.0,09:01.0,10000,13000.0,30,30:09.0,,00:00.0,19:59.0
12,8a858f2a5ce989dd015ce9fc24b1474b,1994-12-11 00:00:00.000000,Savings,3.3502377,7.1381618,FCMB,,,,301966939,2,25:57.0,25:52.0,10000,13000.0,30,,Bad,301953636,1,00:15.0,59:04.0,10000,11500.0,15,52:25.0,,00:00.0,42:16.0
13,8a858f3a5c10828d015c109746d20aee,1970-07-19 00:00:00.000000,Savings,5.768004,5.559055,Skye Bank,,Permanent,,301983781,2,55:38.0,55:30.0,10000,13000.0,30,,Good,301911975,1,07:07.0,05:59.0,10000,13000.0,30,49:36.0,,00:00.0,39:27.0
14,8a858fb4563228d201564fd7519f22a8,1994-06-03 00:00:00.000000,Other,3.3810932,6.608266,UBA,,Student,Secondary,301960555,7,07:04.0,05:58.0,30000,34500.0,30,,Good,301668802,1,30:32.0,30:22.0,10000,11500.0,15,58:53.0,,00:00.0,43:49.0
15,8a858fb4563228d201564fd7519f22a8,1994-06-03 00:00:00.000000,Other,3.3810932,6.608266,UBA,,Student,Secondary,301960555,7,07:04.0,05:58.0,30000,34500.0,30,,Good,301883192,5,18:11.0,18:05.0,20000,23800.0,30,46:31.0,,00:00.0,18:55.0
16,8a858fb4563228d201564fd7519f22a8,1994-06-03 00:00:00.000000,Other,3.3810932,6.608266,UBA,,Student,Secondary,301960555,7,07:04.0,05:58.0,30000,34500.0,30,,Good,301686631,2,27:08.0,27:00.0,10000,13000.0,30,07:50.0,,00:00.0,09:54.0
17,8a858fb4563228d201564fd7519f22a8,1994-06-03 00:00:00.000000,Other,3.3810932,6.608266,UBA,,Student,Secondary,301960555,7,07:04.0,05:58.0,30000,34500.0,30,,Good,301866834,4,38:03.0,37:54.0,20000,21900.0,15,02:30.0,,00:00.0,47:21.0
18,8a858fb4563228d201564fd7519f22a8,1994-06-03 00:00:00.000000,Other,3.3810932,6.608266,UBA,,Student,Secondary,301960555,7,07:04.0,05:58.0,30000,34500.0,30,,Good,301922756,6,15:44.0,15:38.0,20000,24500.0,30,59:42.0,,00:00.0,46:08.0
19,8a858fb4563228d201564fd7519f22a8,1994-06-03 00:00:00.000000,Other,3.3810932,6.608266,UBA,,Student,Secondary,301960555,7,07:04.0,05:58.0,30000,34500.0,30,,Good,301846929,3,37:11.0,36:53.0,10000,11500.0,15,29:57.0,,00:00.0,14:49.0
20,8a858f955a61ad4e015a69ee1edd0d3d,1986-04-15 00:00:00.000000,Savings,3.357961,6.5125169000000005,GT Bank,,Permanent,,301983384,5,50:12.0,50:06.0,20000,24500.0,30,,Good,301873230,1,17:43.0,17:31.0,10000,11500.0,15,54:51.0,,00:00.0,39:42.0
21,8a858f955a61ad4e015a69ee1edd0d3d,1986-04-15 00:00:00.000000,Savings,3.357961,6.5125169000000005,GT Bank,,Permanent,,301983384,5,50:12.0,50:06.0,20000,24500.0,30,,Good,301945242,4,00:17.0,00:10.0,20000,24500.0,30,39:31.0,,00:00.0,29:22.0
22,8a858f955a61ad4e015a69ee1edd0d3d,1986-04-15 00:00:00.000000,Savings,3.357961,6.5125169000000005,GT Bank,,Permanent,,301983384,5,50:12.0,50:06.0,20000,24500.0,30,,Good,301893057,2,04:02.0,03:56.0,10000,13000.0,30,22:39.0,,00:00.0,12:31.0
23,8a858f955a61ad4e015a69ee1edd0d3d,1986-04-15 00:00:00.000000,Savings,3.357961,6.5125169000000005,GT Bank,,Permanent,,301983384,5,50:12.0,50:06.0,20000,24500.0,30,,Good,301927831,3,33:31.0,33:20.0,10000,11500.0,15,58:34.0,,00:00.0,48:25.0
24,8a858ff25a6a19ee015a6abff5ed659c,1988-12-22 00:00:00.000000,Savings,7.507836200000001,9.0483723,EcoBank,,Permanent,,301977280,4,26:41.0,26:33.0,10000,13000.0,30,,Good,301826507,1,31:21.0,31:14.0,10000,13000.0,30,25:27.0,,00:00.0,10:15.0
25,8a858ff25a6a19ee015a6abff5ed659c,1988-12-22 00:00:00.000000,Savings,7.507836200000001,9.0483723,EcoBank,,Permanent,,301977280,4,26:41.0,26:33.0,10000,13000.0,30,,Good,301927148,3,24:14.0,24:05.0,10000,13000.0,30,54:20.0,,00:00.0,17:11.0
26,8a858ff25a6a19ee015a6abff5ed659c,1988-12-22 00:00:00.000000,Savings,7.507836200000001,9.0483723,EcoBank,,Permanent,,301977280,4,26:41.0,26:33.0,10000,13000.0,30,,Good,301848813,2,00:37.0,00:30.0,10000,13000.0,30,33:55.0,,00:00.0,18:47.0
27,8a858e6c5c88d145015c894de1a91c5c,1988-04-22 00:00:00.000000,Savings,3.363275,7.145506699999999,GT Bank,,Permanent,,301958736,2,55:54.0,55:47.0,10000,13000.0,30,,Good,301931974,1,29:01.0,27:53.0,10000,13000.0,30,04:14.0,,00:00.0,54:05.0
